,SNB,Dairy,Forest,Crop
LUC1_Mean,4,11,-15,1.2
LUC1_SD,1.2,3.3,-4.5,0.36
LUC2_Mean,3.75,10.5,-14.25,1.14
LUC2_SD,1.125,3.15,-4.275,0.342
LUC3_Mean,3.5,10,-13.5375,1.083
LUC3_SD,1.05,3,-4.06125,0.3249
LUC4_Mean,3.25,9.5,-12.860625,1.02885
LUC4_SD,0.975,2.85,-3.8581875,0.308655
LUC5_Mean,3,9,-12.21759375,0.9774075
LUC5_SD,0.9,2.7,-3.665278125,0.29322225
LUC6_Mean,2.75,8.5,-11.60671406,0.928537125
LUC6_SD,0.825,2.55,-3.482014219,0.278561138
LUC7_Mean,2.5,8,-11.02637836,0.882110269
LUC7_SD,0.75,2.4,-3.307913508,0.264633081
LUC8_Mean,2.25,7.5,-10.47505944,0.838004755
LUC8_SD,0.675,2.25,-3.142517832,0.251401427
