statistic,landuse,Build_Wetland,Riparian_Planting,Clean_Races,Farm_Plan
nudge,SNB,0,0,0,0
nudge,Dairy,0,0,0,0
nudge,Forest,0,0,0,0
nudge,Crop,0,0,0,0
init_proportion,SNB,0.1,0.1,NA,0.1
init_proportion,Dairy,0.1,0.1,0.1,0.1
init_proportion,Forest,NA,NA,NA,NA
init_proportion,Crop,0.5,0.04,NA,NA
max_proportion,SNB,1,1,1,1
max_proportion,Dairy,1,1,1,1
max_proportion,Forest,1,1,1,1
max_proportion,Crop,1,1,1,1
capital_costs,SNB,30,50,NA,4
capital_costs,Dairy,30,50,40,4
capital_costs,Forest,NA,NA,NA,NA
capital_costs,Crop,30,50,NA,NA
costs,SNB,2.5,25,NA,0.1
costs,Dairy,2.5,25,5,0.1
costs,Forest,NA,NA,NA,NA
costs,Crop,2.5,25,NA,NA
yields,SNB,-0.05,-0.05,NA,-0.03
yields,Dairy,-0.02,-0.02,0,-0.01
yields,Forest,NA,NA,NA,NA
yields,Crop,-0.1,-0.01,NA,NA
ghg_emissions,SNB,-0.1,-0.1,NA,-0.06
ghg_emissions,Dairy,-0.05,-0.03,-0.01,-0.05
ghg_emissions,Forest,NA,NA,NA,NA
ghg_emissions,Crop,-0.05,-0.04,NA,NA
nitrates,SNB,-0.1,-0.56,NA,0
nitrates,Dairy,-0.1,-0.56,-0.01,0
nitrates,Forest,NA,NA,NA,NA
nitrates,Crop,-0.1,-0.51,NA,NA
phosphates,SNB,-0.45,-0.5,NA,-0.2
phosphates,Dairy,-0.45,-0.66,-0.01,-0.2
phosphates,Forest,NA,NA,NA,NA
phosphates,Crop,-0.4,-0.5,NA,NA
sediment,SNB,-0.65,-0.75,NA,-0.7
sediment,Dairy,-0.65,-0.75,-0.01,-0.7
sediment,Forest,NA,NA,NA,NA
sediment,Crop,-0.65,-0.75,NA,NA
e_coli,SNB,-0.55,-0.6,NA,-0.1
e_coli,Dairy,-0.6,-0.55,-0.5,-0.1
e_coli,Forest,NA,NA,NA,NA
e_coli,Crop,-0.6,-0.55,NA,NA
