Intervention,Impact,"SNB","Dairy","Forest","Crop"
"Build_Wetland","costs",25,68,"NA",34
"Build_Wetland","yields",-0.2,-0.02,"NA",-0.1
"Build_Wetland","emissions",-0.1,-0.05,"NA",-0.05
"Riparian_Planting","costs",26,71,"NA",11
"Riparian_Planting","yields",-0.2,-0.02,"NA",-0.01
"Riparian_Planting","emissions",-0.1,-0.03,"NA",-0.04
"Clean_Races","costs","NA",75,"NA","NA"
"Clean_Races","yields","NA",0,"NA","NA"
"Clean_Races","emissions","NA",-0.01,"NA","NA"
"Farm_Plan","costs",6,34,"NA","NA"
"Farm_Plan","yields",-0.05,-0.01,"NA","NA"
"Farm_Plan","emissions",-0.06,-0.05,"NA","NA"
"Join_ETS","costs",1,25,50,100
"Join_ETS","yields",-0.25,-0.25,0.1,-0.1
"Join_ETS","emissions",-0.5,-0.5,0.1,-0.25
