Catchment,Scenario Name,Timeperiod,Income,Costs,Profit,Debt,Built_Wetland_Area,Clean_Races_Area,Farm_Plan_Area,Riparian_Planting_Area,Crop_area,Dairy_area,Forest_area,Sheep-Beef_Area,GHGs,Nitrates,Sediment,Phosphates,Ecoli
Waihou-Piako,Adam-1,0,1414739458,1196315403,218424055,424720218.6,1247,816,1278,1227,184,9078,1068,3089,1378965.136,5759346.032,1139000.32,134558.96,732926.56
Waihou-Piako,Adam-1,1,1414816858,1196592150,218224708,597590531.1,2181,1382,2342,2423,173,8703,1502,3041,1378612.016,5761805.488,1139776.4,134513.04,732949.712
Waihou-Piako,Adam-1,2,1385039747,1175957280,209082467,588185502.1,3059,2044,3448,3353,216,8329,1981,2893,1190958.672,5160128.88,921681.712,115096.32,608032.912
Waihou-Piako,Adam-1,3,1358251381,1159175090,199076291,560162797.8,4200,2746,4816,4322,241,8060,2290,2828,1011182.864,4634723.936,764487.984,99316.272,503372.128
Waihou-Piako,Adam-1,4,1334742606,1145015711,189726895,460001863.6,5335,3653,5944,5536,261,7838,2473,2847,884930.576,4172429.696,625236.304,84742.608,413023.28
Waihou-Piako,Adam-1,5,1314339893,1132596005,181743888,423142349.8,6477,4531,6936,6589,275,7658,2693,2793,787262.784,3689788.672,515216.688,71457.776,334071.312
Waihou-Piako,Adam-1,6,1296483672,1125560721,170922951,402583220.2,7522,5440,7652,7530,293,7519,2814,2793,694765.248,3262504.592,424414.864,59636.688,262437.632
Waihou-Piako,Adam-1,7,1278985277,1116602166,162383111,421762298.7,8135,5973,8160,8134,305,7295,3011,2808,626522.816,2903795.424,367891.424,50920.352,209906.064
Waihou-Piako,Adam-1,8,1261411852,1103872170,157539682,424194650.3,8677,6272,8562,8458,332,7163,3186,2738,531537.856,2616759.584,334513.264,44755.968,173809.12
Waihou-Piako,Adam-1,9,1253207671,1098961417,154246254,427791221.9,8857,6329,8645,8764,334,6918,3466,2701,464026.48,2446500.784,295746.064,40778.4,150125.92
Waihou-Piako,Adam-1,10,1235568489,1085022888,150545601,427584805.2,8880,6273,8678,8865,356,6684,3726,2653,359908.48,2247956,273948.64,37500.208,129547.216
Waihou-Piako,Dan-1,0,1414664765,1196543938,218120827,395817119,1332,840,1219,1267,184,9078,1068,3089,1379504.32,5738137.52,1133321.152,133573.856,724425.824
Waihou-Piako,Dan-1,1,1415854303,1195723583,220130720,544933964,1759,1073,1656,1759,182,8809,1389,3039,1380065.712,5736746.656,1132384.64,133363.136,724240.512
Waihou-Piako,Dan-1,2,1394299259,1180857505,213441754,529888711,2169,1292,1998,2158,163,8542,1681,3033,1255799.216,5452459.872,1028870.848,124752.656,662740.704
Waihou-Piako,Dan-1,3,1375323170,1167919648,207403522,495062025,2534,1568,2337,2456,180,8285,1976,2978,1142846.256,5179855.488,944259.28,116991.6,613301.872
Waihou-Piako,Dan-1,4,1356939418,1153341183,203598235,406848084,2966,1846,2806,2912,211,8124,2115,2969,1031418.416,4927527.952,885235.664,110123.936,566885.456
Waihou-Piako,Dan-1,5,1342859911,1143262867,199597044,375238641,3319,2133,3143,3272,212,7960,2363,2884,964651.104,4716275.904,805332.96,103308.8,520456.976
Waihou-Piako,Dan-1,6,1331587212,1136120790,195466422,368826042,3607,2333,3494,3812,218,7785,2550,2866,875085.664,4509361.568,743925.376,97380.048,478410.752
Waihou-Piako,Dan-1,7,1318707997,1127212578,191495419,351665055,3996,2526,3836,4108,245,7577,2734,2863,795042.72,4272496.88,688577.424,91430.656,441651.952
Waihou-Piako,Dan-1,8,1301990267,1115764145,186226122,354974897,4366,2752,4258,4377,264,7424,2856,2875,719797.504,4066997.392,648228.464,85935.328,407934.768
Waihou-Piako,Dan-1,9,1290464775,1105648305,184816470,331421605,4744,2909,4685,4681,303,7309,2953,2854,667024.336,3906959.68,609739.568,81380.016,379843.808
Waihou-Piako,Dan-1,10,1280665762,1099613633,181052129,347200570,4944,3097,5033,4972,308,7163,3142,2806,618999.232,3759620.368,569821.504,76797.136,353160.624
