farmer_id,farm_id,farm_type,size_ha,disposition,age,inherited,succession_stage,loan_principal,loan_rate,current_debt,debt_payments,debt_maturity,debt_free,debt_asset_ratio,n_holdings,n_local_links,n_catchment_links,Build_Wetland,Clean_Races,Farm_Plan,Riparian_Planting,x,y
26864,30312,Dairy,64,for_profit,30,FALSE,4,788569,3,788569,53004,5,FALSE,0.676,1,15,9,0,0,0,0,38,259
26865,29026,Dairy,128,for_profit,67,FALSE,1,6400,3,6400,430,0,FALSE,0,1,11,13,0,1,1,1,81,166
26866,29861,SNB,96,for_profit,60,TRUE,3,384,3,384,26,0,FALSE,0,1,11,13,1,0,1,0,56,261
26867,29186,Dairy,96,for_profit,51,TRUE,2,1280,3,394.0201717423386,86,20,FALSE,0,3,14,7,3,3,3,3,89,180
26868,29952,SNB,80,for_profit,65,FALSE,4,65851,3,65851,5516,10,FALSE,0.407,1,6,8,1,0,0,1,44,222
26869,30381,SNB,240,for_profit,59,FALSE,2,312391,3,312391,26168,10,FALSE,0.477,5,10,13,1,0,0,2,94,95
26870,29753,Forest,928,for_profit,57,FALSE,3,975728,3,559446.9378432395,65584,15,FALSE,0.117,5,10,12,0,0,0,0,137,37
26871,29924,Dairy,144,for_profit,48,FALSE,3,1417376,3,1137326.249263531,95270,10,FALSE,0.525,3,9,14,0,0,0,1,118,70
26872,30259,Forest,224,for_profit,45,TRUE,4,0,0,0,0,21,TRUE,0,3,6,13,0,0,0,0,84,303
26873,29306,SNB,656,for_profit,56,TRUE,4,533908,3,164351.97019891292,35887,20,FALSE,0.082,3,9,11,2,0,0,0,106,207
26874,29760,Forest,32,for_profit,51,TRUE,3,0,0,0,0,21,TRUE,0,1,9,14,0,0,0,0,28,273
26875,30404,Dairy,176,pro_environmental,72,FALSE,3,2468115,3,1415127.350035017,165896,15,FALSE,0.4,2,14,15,1,1,0,2,114,133
26876,30292,SNB,464,pro_environmental,57,FALSE,3,4512,3,4512,303,0,FALSE,0,8,11,10,7,0,7,6,148,26
26877,30495,Crop,48,for_profit,40,TRUE,2,1440,3,1440,97,5,FALSE,0.001,1,14,9,1,0,0,1,134,217
26878,29982,Dairy,192,for_profit,66,FALSE,3,0,0,0,0,21,TRUE,0,1,14,9,1,0,1,1,63,189
26879,29587,Dairy,128,pro_environmental,68,TRUE,2,2887,3,1655.3007698389638,338,15,FALSE,0.001,3,11,11,3,3,3,3,18,254
26880,29874,SNB,624,pro_environmental,70,TRUE,2,5055,3,5055,593,10,FALSE,0.009,4,16,15,3,0,1,0,58,135
26881,28930,Dairy,192,for_profit,51,TRUE,2,0,0,0,0,21,TRUE,0,1,15,12,0,0,1,0,67,266
26882,28859,Dairy,256,for_profit,54,TRUE,3,12892,3,12892,1080,5,FALSE,0.002,4,15,13,3,4,4,3,93,106
26883,28928,Dairy,96,for_profit,61,TRUE,2,0,0,0,0,21,TRUE,0,2,12,11,2,1,1,2,66,139
26884,28981,Dairy,112,for_profit,50,TRUE,3,3680,3,2952.8936550991366,247,10,FALSE,0.001,3,12,15,3,0,0,3,103,172
26885,29406,Dairy,144,for_profit,60,TRUE,2,2400,3,2400,161,5,FALSE,0.001,2,9,11,1,2,2,1,84,182
26886,29348,Dairy,96,for_profit,61,TRUE,2,2560,3,2054.1868905037472,172,10,FALSE,0.001,2,13,8,0,2,0,2,126,88
26887,29589,SNB,320,pro_environmental,56,FALSE,2,324930,3,324930,27218,10,FALSE,0.467,4,9,10,1,0,3,4,11,319
26888,29249,Dairy,112,for_profit,37,FALSE,2,734145,3,734145,49346,5,FALSE,0.348,3,13,13,1,0,2,2,78,138
26889,29870,Dairy,224,pro_environmental,65,FALSE,2,0,0,0,0,21,TRUE,0,5,17,10,2,0,1,3,137,208
26890,29763,Forest,1120,for_profit,61,TRUE,2,0,0,0,0,21,TRUE,0,6,8,16,0,0,0,0,174,10
26891,29789,Dairy,48,for_profit,60,FALSE,2,721522,3,721522,48498,5,FALSE,0.765,1,9,13,1,1,1,0,69,199
26892,30438,Forest,80,for_profit,70,TRUE,1,0,0,0,0,21,TRUE,0,1,16,11,0,0,0,0,101,247
26893,30258,Dairy,160,for_profit,67,FALSE,3,915093,3,281691.4851720405,61509,20,FALSE,0.082,3,11,14,1,2,1,1,76,161
26894,29411,Dairy,224,pro_environmental,55,FALSE,3,1922218,3,1922218,129203,5,FALSE,0.493,4,9,10,2,0,4,0,75,121
26895,29754,Dairy,64,for_profit,61,FALSE,4,394245,3,316348.7932213476,26499,10,FALSE,0.271,1,10,11,0,0,0,0,71,125
26896,29121,Dairy,288,for_profit,62,TRUE,2,3200,3,3200,215,5,FALSE,0.001,3,11,9,2,1,0,1,138,23
