farmer_id,farm_id,farm_type,size_ha,disposition,age,inherited,succession_stage,loan_principal,loan_rate,current_debt,debt_payments,debt_maturity,debt_free,debt_asset_ratio,n_holdings,n_local_links,n_catchment_links,Build_Wetland,Clean_Races,Farm_Plan,Riparian_Planting,x,y
26864,29388,Crop,64,pro_environmental,70,FALSE,1,284332,3,284332,62085,20,FALSE,0.105,1,11,10,1,0,0,1,38,259
26865,30129,Dairy,128,for_profit,54,FALSE,3,721777,3,721777,157603,20,FALSE,0.096,1,9,12,0,1,0,0,81,166
26866,29160,Dairy,96,for_profit,66,FALSE,3,1706016,3,1706016,199997,15,FALSE,0.325,1,13,15,0,0,0,0,56,261
26867,28948,Dairy,96,for_profit,61,FALSE,3,4383192,3,4383192,294619,5,FALSE,0.732,3,17,16,0,0,0,0,89,180
26868,29148,Forest,80,pro_environmental,62,FALSE,2,531230,3,304587.95565000095,44499,15,FALSE,0.358,1,11,11,0,0,0,0,44,222
26869,30188,SNB,240,for_profit,65,FALSE,2,800,3,800,54,0,FALSE,0.098,5,12,14,1,0,4,2,94,95
26870,29444,Forest,928,for_profit,49,FALSE,2,6435142,3,3689676.309879823,432543,15,FALSE,0.386,5,11,10,0,0,0,0,137,37
26871,30577,Dairy,144,for_profit,54,FALSE,4,4029824,3,4029824,337565,10,FALSE,0.576,3,14,14,0,1,0,0,118,70
26872,30533,Forest,224,for_profit,62,FALSE,2,1678310,3,962281.8964421307,112809,15,FALSE,0.413,3,7,11,0,0,0,0,84,303
26873,28804,Dairy,656,for_profit,62,FALSE,2,1408,3,1408,95,0,FALSE,0,3,12,11,0,0,1,0,106,207
26874,29630,Dairy,32,for_profit,48,FALSE,3,631443,3,631443,74024,15,FALSE,0.361,1,12,11,0,0,0,0,28,273
26875,29634,Dairy,176,for_profit,34,FALSE,3,7795458,3,7795458,523977,5,FALSE,0.734,2,10,11,1,1,2,0,114,133
26876,30395,SNB,464,for_profit,69,TRUE,2,7169,3,7169,840,10,FALSE,0.005,8,10,9,8,0,7,4,148,26
26877,29839,Forest,48,pro_environmental,63,FALSE,1,147088,3,147088,32117,20,FALSE,0.222,1,14,12,0,0,0,0,134,217
26878,29525,Forest,192,pro_environmental,48,FALSE,3,1766253,3,1417270.9991847326,118720,10,FALSE,0.534,1,12,7,0,0,0,0,63,189
26879,29913,Dairy,128,for_profit,79,TRUE,3,2014,3,1154.754329911906,236,15,FALSE,0,3,8,10,0,2,0,0,18,254
26880,30096,SNB,624,for_profit,56,FALSE,5,1606879,3,1606879,134603,10,FALSE,0.614,4,15,13,1,0,3,1,58,135
26881,29220,Forest,192,pro_environmental,39,FALSE,6,1663487,3,1663487,111812,5,FALSE,0.635,1,15,9,0,0,0,0,67,266
26882,28746,Dairy,256,for_profit,42,FALSE,3,8563624,3,8563624,717345,10,FALSE,0.653,4,12,13,4,1,3,0,93,106
26883,30403,Crop,96,for_profit,66,FALSE,2,0,0,0,0,21,TRUE,0,2,10,9,0,0,0,0,66,139
26884,30564,Dairy,112,for_profit,70,FALSE,2,953,3,953,112,10,FALSE,0,3,12,16,1,0,2,0,103,172
26885,29705,Dairy,144,for_profit,65,FALSE,3,4776853,3,4776853,400141,10,FALSE,0.519,2,13,12,0,1,0,0,84,182
26886,30081,Dairy,96,for_profit,66,FALSE,3,3094044,3,3094044,207968,5,FALSE,0.594,2,11,10,0,1,0,0,126,88
