farmer_id,farm_id,farm_type,size_ha,disposition,age,inherited,succession_stage,loan_principal,loan_rate,current_debt,debt_payments,debt_maturity,debt_free,debt_asset_ratio,n_holdings,n_local_links,n_catchment_links,Build_Wetland,Clean_Races,Farm_Plan,Riparian_Planting,x,y
26864,29388,SNB,64,for_profit,37,FALSE,2,255217,3,255217,17155,5,FALSE,0.673,1,11,10,1,0,0,0,38,259
26865,30129,SNB,128,for_profit,68,FALSE,3,2591971,3,1486141.874506501,217121,15,FALSE,0.295,1,9,12,0,0,1,0,81,166
26866,29160,Dairy,96,for_profit,61,FALSE,1,1109260,3,1109260,130039,15,FALSE,0.317,1,13,15,0,0,0,1,56,261
26867,28948,Dairy,96,for_profit,64,FALSE,2,1792,3,1437.930823352623,120,10,FALSE,0,3,17,16,0,0,1,1,89,180
26868,29148,Forest,80,for_profit,59,FALSE,3,514986,3,514986,34615,5,FALSE,0.606,1,11,11,0,0,0,0,44,222
26869,30188,SNB,240,for_profit,56,FALSE,2,821085,3,821085,68779,10,FALSE,0.627,5,12,14,1,0,3,2,94,95
26870,29444,Forest,928,for_profit,59,FALSE,2,6349827,3,5095207.570455757,426808,10,FALSE,0.533,5,11,10,0,0,0,0,137,37
26871,30577,Dairy,144,for_profit,63,FALSE,3,1376527,3,1376527,161371,15,FALSE,0.366,3,14,14,0,2,0,0,118,70
26872,30533,Forest,224,for_profit,70,FALSE,2,1112343,3,637777.0087374377,93177,15,FALSE,0.274,3,7,11,0,0,0,0,84,303
26873,28804,Forest,656,for_profit,72,FALSE,3,3972674,3,3972674,465719,15,FALSE,0.3,3,12,11,0,0,0,0,106,207
26874,29630,Dairy,32,for_profit,51,FALSE,3,877399,3,877399,58975,5,FALSE,0.753,1,12,11,0,0,0,0,28,273
26875,29634,Forest,176,for_profit,64,FALSE,2,1064474,3,1064474,124789,15,FALSE,0.312,2,10,11,1,0,1,0,114,133
26876,30395,SNB,464,for_profit,74,FALSE,4,1734500,3,994499.198228501,116586,15,FALSE,0.339,8,10,9,1,0,1,0,148,26
26877,29839,Crop,48,for_profit,78,FALSE,2,0,0,0,0,21,TRUE,0,1,14,12,0,0,0,0,134,217
26878,29525,Dairy,192,for_profit,50,FALSE,3,4124138,3,4124138,345465,10,FALSE,0.546,1,12,7,1,1,1,1,63,189
26879,29913,Dairy,128,for_profit,38,FALSE,4,2809983,3,2809983,188875,5,FALSE,0.583,3,8,10,1,1,0,0,18,254
26880,30096,SNB,624,for_profit,73,FALSE,2,1974,3,1974,231,10,FALSE,0.001,4,15,13,3,0,4,2,58,135
26881,29220,Forest,192,for_profit,59,FALSE,2,836430,3,836430,182638,20,FALSE,0.319,1,15,9,0,0,0,0,67,266
26882,28746,Dairy,256,for_profit,70,FALSE,4,4296246,3,2463311.157332029,359882,15,FALSE,0.282,4,12,13,2,0,1,0,93,106
26883,30403,Dairy,96,pro_environmental,46,FALSE,3,1537368,3,1537368,103335,5,FALSE,0.606,2,10,9,0,0,1,0,66,139
26884,30564,Dairy,112,for_profit,62,FALSE,3,1584317,3,1584317,185730,15,FALSE,0.335,3,12,16,0,0,2,0,103,172
26885,29705,Dairy,144,pro_environmental,67,FALSE,2,1523365,3,1523365,178585,15,FALSE,0.31,2,13,12,0,0,1,1,84,182
26886,30081,Dairy,96,for_profit,50,FALSE,2,1056602,3,1056602,123866,15,FALSE,0.304,2,11,10,0,0,0,0,126,88
26887,29079,SNB,320,for_profit,41,FALSE,3,1186964,3,1186964,79783,5,FALSE,0.717,4,6,11,0,0,1,0,11,319
26888,30024,Dairy,112,pro_environmental,66,FALSE,2,2675051,3,2675051,224080,10,FALSE,0.634,3,10,13,1,3,0,0,78,138
26889,29011,Dairy,224,for_profit,71,FALSE,2,2534,3,2534,212,5,FALSE,0,5,12,12,2,1,0,0,137,208
26890,29545,Forest,1120,for_profit,64,FALSE,3,7974229,3,7974229,535993,5,FALSE,0.623,6,12,8,0,0,0,0,174,10
26891,28914,Forest,48,for_profit,48,FALSE,3,254862,3,254862,29878,15,FALSE,0.384,1,9,11,0,0,0,0,69,199
26892,28995,SNB,80,for_profit,47,FALSE,2,221208,3,221208,14869,5,FALSE,0.683,1,17,15,0,0,1,1,101,247
26893,29670,Dairy,160,for_profit,58,FALSE,3,4074776,3,3269668.531616913,273889,10,FALSE,0.474,3,12,9,1,1,0,0,76,161
26894,30516,Dairy,224,for_profit,56,FALSE,3,3999322,3,3999322,335010,10,FALSE,0.513,4,12,11,0,1,3,0,75,121
26895,30170,Dairy,64,for_profit,50,FALSE,4,1630414,3,1630414,109589,5,FALSE,0.699,1,8,12,1,0,0,1,71,125
