farmer_id,farm_id,farm_type,size_ha,disposition,age,inherited,succession_stage,loan_principal,loan_rate,current_debt,debt_payments,debt_maturity,debt_free,debt_asset_ratio,n_holdings,n_local_links,n_catchment_links,Build_Wetland,Clean_Races,Farm_Plan,Riparian_Planting,x,y
26864,29388,SNB,64,for_profit,63,FALSE,2,256,3,256,17,5,FALSE,0.001,1,11,10,1,0,1,0,38,259
26865,30129,Dairy,128,for_profit,43,FALSE,3,1590320,3,1590320,106894,5,FALSE,0.632,1,9,12,0,1,0,0,81,166
26866,29160,Dairy,96,for_profit,76,FALSE,1,1158987,3,356768.95061495143,77902,20,FALSE,0.204,1,13,15,0,1,0,1,56,261
26867,28948,Dairy,96,for_profit,73,FALSE,2,1018,3,1018,119,10,FALSE,0.001,3,17,16,1,0,1,0,89,180
26868,29148,Forest,80,for_profit,76,FALSE,2,0,0,0,0,21,TRUE,0,1,11,11,0,0,0,0,44,222
26869,30188,SNB,240,for_profit,55,FALSE,3,535647,3,164887.283541616,36004,20,FALSE,0.18,5,12,14,0,0,0,0,94,95
26870,29444,Forest,928,for_profit,70,FALSE,2,3085469,3,949794.5510044233,207392,20,FALSE,0.199,5,11,10,0,0,0,0,137,37
26871,30577,Dairy,144,for_profit,67,FALSE,2,0,0,0,0,21,TRUE,0,3,14,14,0,2,0,0,118,70
26872,30533,Forest,224,for_profit,55,FALSE,3,625092,3,625092,42016,5,FALSE,0.537,3,7,11,0,0,0,0,84,303
26873,28804,Dairy,656,for_profit,81,FALSE,2,6833356,3,2103500.081794172,459309,20,FALSE,0.197,3,12,11,1,0,2,0,106,207
26874,29630,Forest,32,for_profit,64,FALSE,4,112866,3,64713.25829187547,7586,15,FALSE,0.296,1,12,11,0,0,0,0,28,273
26875,29634,Dairy,176,pro_environmental,64,FALSE,1,2092722,3,1199890.6607755234,140664,15,FALSE,0.339,2,10,11,2,0,2,1,114,133
26876,30395,SNB,464,for_profit,51,FALSE,4,684954,3,549618.5653898843,46040,10,FALSE,0.51,8,10,9,1,0,1,0,148,26
26877,29839,Forest,48,for_profit,53,FALSE,1,214367,3,172011.67232680344,14409,10,FALSE,0.518,1,14,12,0,0,0,0,134,217
26878,29525,Dairy,192,for_profit,80,FALSE,2,5760,3,5760,387,0,FALSE,0,1,12,7,1,0,0,0,63,189
26879,29913,Dairy,128,for_profit,47,FALSE,3,1522472,3,1522472,102334,5,FALSE,0.631,3,8,10,1,0,2,0,18,254
26880,30096,Forest,624,pro_environmental,54,FALSE,3,204724,3,204724,44702,15,FALSE,0.116,4,15,13,1,0,2,1,58,135
26881,29220,Forest,192,for_profit,70,FALSE,2,882511,3,271661.82483164297,59319,20,FALSE,0.207,1,15,9,0,0,0,0,67,266
26882,28746,Forest,256,pro_environmental,60,FALSE,6,1352314,3,1352314,90897,5,FALSE,0.624,4,12,13,1,0,1,0,93,106
26883,30403,Dairy,96,for_profit,54,FALSE,3,1191844,3,683359.9898607377,80111,15,FALSE,0.493,2,10,9,0,0,0,0,66,139
26884,30564,Dairy,112,pro_environmental,64,FALSE,5,1160491,3,931197.4213857751,78003,10,FALSE,0.532,3,12,16,0,0,0,0,103,172
26885,29705,Dairy,144,for_profit,75,FALSE,1,0,0,0,0,21,TRUE,0,2,13,12,1,0,0,0,84,182
26886,30081,Forest,96,for_profit,39,FALSE,3,660594,3,660594,44402,5,FALSE,0.656,2,11,10,0,0,0,0,126,88
26887,29079,SNB,320,pro_environmental,65,FALSE,2,559808,3,449199.31828090694,37628,10,FALSE,0.543,4,6,11,1,0,0,0,11,319
26888,30024,Forest,112,pro_environmental,67,FALSE,2,0,0,0,0,21,TRUE,0,3,10,13,0,0,0,0,78,138
26889,29011,Dairy,224,for_profit,78,FALSE,3,1534,3,1534,128,5,FALSE,0,5,12,12,1,3,0,2,137,208
26890,29545,Forest,1120,for_profit,77,FALSE,2,4146639,3,1276452.6647917808,278719,20,FALSE,0.2,6,12,8,0,0,0,0,174,10
26891,28914,Forest,48,pro_environmental,65,FALSE,2,0,0,0,0,21,TRUE,0,1,9,11,0,0,0,0,69,199
26892,28995,SNB,80,pro_environmental,70,FALSE,2,4000,3,4000,269,0,FALSE,0.199,1,17,15,0,0,0,1,101,247
26893,29670,Dairy,160,pro_environmental,48,FALSE,1,1831969,3,563931.8281301878,123137,20,FALSE,0.16,3,12,9,0,0,0,0,76,161
26894,30516,Dairy,224,for_profit,68,FALSE,2,4368,3,4368,366,5,FALSE,0.001,4,12,11,0,0,1,2,75,121
26895,30170,SNB,64,pro_environmental,46,FALSE,4,242554,3,194629.39337470543,16303,10,FALSE,0.446,1,8,12,0,0,0,0,71,125
26896,29648,Dairy,288,pro_environmental,72,FALSE,1,6025,3,6025,505,5,FALSE,0.001,3,11,12,1,3,3,1,138,23
26897,30215,Dairy,112,for_profit,38,FALSE,2,1456216,3,1456216,97881,5,FALSE,0.668,2,13,7,2,1,2,1,51,153
26898,30394,Dairy,224,for_profit,78,FALSE,2,1600,3,1600,108,5,FALSE,0,8,13,10,4,1,0,4,137,53
26899,30341,SNB,32,for_profit,59,FALSE,2,7614,3,7614,1663,20,FALSE,0.102,2,10,10,2,0,0,1,11,283
26900,29390,Forest,176,for_profit,64,FALSE,2,380696,3,305476.8486200057,25589,10,FALSE,0.254,1,15,14,0,0,0,0,28,272
26901,28949,Dairy,128,for_profit,66,FALSE,3,1375596,3,423447.32200630783,92462,20,FALSE,0.165,2,18,15,2,0,0,0,95,190
26902,29299,Crop,64,for_profit,69,FALSE,2,0,0,0,0,21,TRUE,0,1,12,8,0,0,0,0,77,169
26903,29575,Dairy,208,for_profit,70,FALSE,2,2473445,3,1418183.3781275842,166254,15,FALSE,0.374,1,13,11,0,0,0,1,77,246
26904,28923,Dairy,80,for_profit,61,FALSE,2,2400,3,2400,161,0,FALSE,0.18,3,13,12,0,3,3,3,63,181
26905,29883,Dairy,96,for_profit,64,FALSE,2,1388043,3,1113788.958615427,93298,10,FALSE,0.54,2,17,14,1,2,0,2,112,171
26906,29724,Forest,208,for_profit,55,FALSE,2,754070,3,605078.401766469,50685,10,FALSE,0.548,1,10,15,0,0,0,0,52,132
26907,30508,Forest,1280,for_profit,42,FALSE,2,13708257,3,13708257,921410,5,FALSE,0.637,2,13,12,0,1,0,1,128,34
26908,29805,Dairy,64,for_profit,81,FALSE,2,0,0,0,0,21,TRUE,0,1,14,13,0,0,0,0,73,250
26909,30276,Forest,240,for_profit,61,FALSE,2,897097,3,719845.6628555625,60299,10,FALSE,0.554,2,10,11,0,0,0,0,16,249
26910,30237,SNB,496,for_profit,50,FALSE,3,685315,3,210959.3234356256,46064,20,FALSE,0.193,4,7,8,0,0,0,0,124,240
26911,29205,Forest,1264,pro_environmental,63,FALSE,4,4476956,3,4476956,300922,5,FALSE,0.693,6,11,9,0,0,0,0,152,20
26912,29680,Forest,48,for_profit,56,FALSE,3,185206,3,106190.38253508664,12449,15,FALSE,0.324,1,12,13,0,0,0,0,77,239
26913,30244,Dairy,64,pro_environmental,46,FALSE,2,725749,3,582353.1568735172,48782,10,FALSE,0.463,1,17,15,0,0,0,0,136,214
26914,30344,Forest,64,for_profit,47,FALSE,4,257610,3,257610,17315,0,FALSE,1.396,1,13,12,0,0,0,0,36,263
26915,30091,Forest,128,pro_environmental,53,FALSE,3,1720745,3,1720745,115661,5,FALSE,0.663,2,13,20,0,0,1,0,115,136
26916,29992,Dairy,80,for_profit,57,TRUE,2,596010,3,183468.72075011817,69871,20,FALSE,0.166,3,11,14,2,2,2,2,30,256
26917,29166,Dairy,80,for_profit,55,FALSE,4,905692,3,726742.434857078,60877,10,FALSE,0.511,3,9,10,0,0,0,1,140,107
26918,30077,Dairy,112,pro_environmental,68,FALSE,2,1447941,3,1161852.1173526898,97324,10,FALSE,0.569,1,9,14,0,1,1,0,49,272
26919,29460,Dairy,80,pro_environmental,53,FALSE,2,875959,3,702884.1775073328,58878,10,FALSE,0.415,3,19,15,1,0,2,1,86,179
26920,29698,Forest,640,for_profit,64,FALSE,2,2545471,3,783567.9067071425,171096,20,FALSE,0.226,9,13,10,0,0,0,0,144,65
26921,30415,SNB,352,for_profit,55,FALSE,4,591757,3,591757,39775,5,FALSE,0.685,2,12,10,0,0,0,1,60,127
26922,28934,Forest,160,pro_environmental,57,FALSE,3,1167078,3,669160.066457263,78446,15,FALSE,0.661,3,12,12,1,0,0,0,60,204
26923,29456,Dairy,192,for_profit,55,FALSE,4,1553617,3,1246648.3102592814,104427,10,FALSE,0.496,4,10,12,0,3,3,2,163,48
26924,30140,Forest,112,for_profit,74,FALSE,2,0,0,0,0,21,TRUE,0,1,15,11,0,0,0,0,39,261
26925,29786,Dairy,96,for_profit,57,FALSE,2,1402027,3,431583.53072452795,94238,20,FALSE,0.234,2,14,15,0,1,0,0,93,144
26926,28814,Forest,96,for_profit,61,FALSE,1,340836,3,104918.95254372791,22910,20,FALSE,0.16,1,10,16,0,0,0,0,88,143
26927,28947,Forest,112,pro_environmental,58,FALSE,3,648122,3,371609.575874461,43564,15,FALSE,0.365,2,16,9,0,0,0,0,79,170
26928,29851,Dairy,192,for_profit,48,FALSE,2,2098722,3,1684049.6950046115,141067,10,FALSE,0.501,2,13,12,0,0,1,1,64,138
26929,29424,SNB,160,pro_environmental,55,FALSE,3,305803,3,245381.45065496775,20555,10,FALSE,0.517,2,9,13,0,0,0,0,138,235
26930,29703,Forest,240,for_profit,71,FALSE,2,892114,3,715847.2201698672,59964,10,FALSE,0.561,1,13,11,0,0,0,0,55,130
26931,29147,Crop,160,for_profit,56,FALSE,2,2001714,3,1606208.8505225852,134547,10,FALSE,0.52,3,13,9,1,0,0,1,87,217
26932,29745,SNB,48,for_profit,64,FALSE,1,5037,3,5037,339,5,FALSE,0.027,3,12,10,0,0,3,2,109,133
26933,30454,Dairy,64,for_profit,75,FALSE,1,4512,3,2587.0166517192256,529,15,FALSE,0.002,1,15,13,1,1,1,1,142,212
26934,28958,Dairy,208,for_profit,47,FALSE,2,2981068,3,2392058.9083204004,200375,10,FALSE,0.519,1,13,7,0,1,0,1,113,166
26935,30578,Dairy,128,for_profit,43,FALSE,3,1094858,3,878532.4025637312,73592,10,FALSE,0.403,2,12,12,2,0,0,0,123,206
26936,28801,Forest,80,pro_environmental,46,TRUE,5,291414,3,233835.4759801793,19588,10,FALSE,0.428,1,12,13,0,0,0,0,90,260
26937,30113,Forest,48,for_profit,68,FALSE,2,239390,3,137257.5169005021,16091,15,FALSE,0.414,1,17,7,0,0,0,0,90,255
26938,29962,SNB,240,for_profit,36,FALSE,3,515429,3,515429,34645,5,FALSE,0.671,1,16,13,1,0,0,0,77,148
26939,28818,Dairy,80,for_profit,67,FALSE,2,910045,3,521786.6952158295,61169,15,FALSE,0.301,2,19,12,1,0,0,0,113,115
26940,29566,Forest,64,for_profit,61,FALSE,5,430700,3,430700,28950,5,FALSE,0.628,2,14,8,1,0,0,0,71,181
26941,30046,Dairy,256,for_profit,68,FALSE,1,2275253,3,700387.1701697431,152933,20,FALSE,0.195,4,9,9,1,2,0,0,141,21
26942,29640,Dairy,192,for_profit,65,FALSE,3,1986008,3,1138704.7354715415,133491,15,FALSE,0.372,7,13,13,1,2,4,0,113,65
26943,29432,Dairy,656,for_profit,44,FALSE,2,7013835,3,7013835,471440,5,FALSE,0.64,2,8,13,0,0,2,0,45,217
26944,29748,Dairy,144,for_profit,60,FALSE,1,1685707,3,1352639.53930875,113306,10,FALSE,0.574,3,14,13,2,0,0,0,124,90
26945,28950,Forest,176,for_profit,61,FALSE,3,0,0,0,0,21,TRUE,0,2,11,11,0,0,0,0,127,166
26946,29551,SNB,64,for_profit,65,FALSE,2,0,0,0,0,21,TRUE,0,1,11,14,0,0,0,0,45,138
26947,28937,Forest,144,for_profit,67,FALSE,3,479226,3,384538.9714017769,32212,10,FALSE,0.532,2,13,12,0,0,0,0,129,224
26948,30479,Dairy,160,for_profit,75,FALSE,2,1224584,3,702131.9147670515,82311,15,FALSE,0.356,3,13,13,0,0,0,0,57,142
26949,30485,Crop,176,for_profit,54,FALSE,2,2538482,3,781416.4950037776,170626,20,FALSE,0.194,1,11,12,1,0,0,0,118,114
26950,29327,Dairy,64,for_profit,66,FALSE,2,1440,3,1440,97,5,FALSE,0.001,2,10,13,2,0,0,0,111,55
