farm_id,farmer_id,farm_type,size_ha,gross_profit,current_profit,current_income,current_costs,ghg_emissions,nitrates,sediment,phosphates,e_coli
28727,27134,SNB,144,22563,22040,202831,180268,137.7,646.2,583.6,35.2,206.4
28728,28341,Forest,80,45827,45827,324439,278612,-967.4,159.9,240,15.9,31.8
28729,28335,Dairy,192,192111,13688,1512128,1320017,1695.7,2905.6,19.9,23,67.8
28730,27883,SNB,80,1372,0,84912,83540,195,803.1,140,18.2,131.4
28731,27912,Dairy,64,134472,133885,721177,586705,624.7,1076.3,15.9,13.1,98.7
28732,28291,Dairy,144,135174,134991,1002419,867245,635,2234,165.2,37.6,164.2
28733,28015,Forest,32,24251,11223,147242,122991,-554.3,63.6,97.5,6.5,12.5
28734,28088,Dairy,144,199771,199706,1342130,1142359,746.9,3876.2,438,87.7,234.5
28735,28444,Dairy,80,104031,103816,767958,663927,753.2,2694.6,108.5,37.4,75.3
28736,27981,SNB,32,-1319,-1319,83112,84431,97.3,139.3,11.3,3.5,20.6
28737,27113,Dairy,80,75259,74990,672206,596947,762.6,1288.6,24.3,18.6,148.4
28738,28388,Dairy,144,227996,164474,1441953,1213957,1520.7,5185.1,537.3,117.7,608.2
28739,28035,SNB,256,-9479,0,279371,288850,573.2,1161.5,107.4,28.3,164.2
28740,27089,Forest,96,60056,11587,420952,360896,-1300.7,192.3,292.8,19.1,38
28741,27314,SNB,272,18784,18031,350381,331597,393.4,1287.8,350.4,52.2,358.6
28742,27736,Dairy,176,162950,95347,1019007,856057,5.4,3959.2,440.5,87.8,340.6
28743,28299,Dairy,80,88228,73682,804346,716118,809.3,1381.1,35.5,20,76.5
28744,27137,Dairy,96,108617,108617,747791,639174,781.8,3463.8,77.1,50.4,268.5
28745,28085,Forest,32,6586,6586,130367,123781,-445.3,64.3,101.2,6.3,12.5
28746,27435,SNB,64,4234,4126,171106,166872,190.1,430.9,214.7,13.2,81.4
28747,28410,Forest,96,74677,57720,571356,496679,-577.9,665.7,222.4,22.1,91
28748,27552,Dairy,64,81790,81747,599066,517276,721.7,2408.7,258.4,54.6,240.3
28749,28264,Dairy,96,64037,35428,843513,779476,928.9,1489.9,33.1,14.7,38.1
28750,28210,Dairy,64,52582,52582,539167,486585,552.9,934.8,32.5,11.6,55.9
28751,28437,Forest,64,63479,52162,351685,288206,-175.3,1388.1,220.6,33.6,156.2
28752,28285,Dairy,64,53984,53975,459921,405937,512.5,2066.4,26.5,22.9,111.2
28753,28682,Dairy,80,145330,145313,879897,734567,808.8,3075.1,95,56.8,321.5
28754,27591,Dairy,192,231536,231192,1629725,1398189,1636.8,3212.9,25.2,28.5,95
28755,28430,SNB,112,-17730,0,287661,305391,328,513.9,38,12,73.2
28756,27664,Dairy,144,149882,37344,1316914,1167032,1344.2,2117.5,49.6,23.6,58.8
28757,27383,Dairy,128,121536,59304,1089478,967942,1138,2077.7,37.9,29.6,235.6
28758,27782,SNB,48,18163,18055,104744,86581,-119.3,192.7,184.7,10.5,57.9
28759,28221,Dairy,80,104877,104877,839405,734528,816.1,1781.9,61.2,21.6,91.8
28760,27163,Forest,96,67716,67716,380238,312522,-1097.8,190.9,283.8,19.2,37.5
28761,27618,Dairy,80,56602,9118,592649,536047,-69.7,756.8,99.3,12.4,30.7
28762,28234,Dairy,80,91984,91782,530595,438611,-60.9,1382.8,115.3,20.8,44.6
28763,27401,SNB,112,703,703,256042,255339,365.3,868.6,893.8,36,287.9
28764,27681,SNB,112,17840,8589,282298,264458,33.8,568.1,385.4,28.8,190.5
28765,27398,SNB,112,-4344,-4344,108445,112789,248.2,473.7,49.3,12.1,73.3
28766,28498,Dairy,80,91099,91099,794030,702931,766.8,1196.5,8.4,9.7,28.6
28767,28558,Dairy,64,117287,117270,589817,472530,612.6,2506.6,77.5,43.5,261.1
28768,27911,SNB,192,63769,47328,584656,520887,545.7,1402.2,306,30.5,152.3
28769,27679,Forest,96,69828,58081,445333,375505,-1058.9,793.5,258.4,25.9,65.6
28770,28042,Dairy,64,50140,50002,480926,430786,554.6,985.9,6.7,7.8,23.4
28771,28043,Crop,96,197347,123830,475596,278249,113.4,1878,97.3,38.5,19.2
28772,28483,Dairy,64,55296,55242,575353,520057,562.5,982,6.8,7.9,46.7
28773,28242,Forest,144,140243,140243,676925,536682,-2062.5,287.3,427.2,28.9,57.9
28774,28198,Dairy,48,62899,62899,460030,397131,510.5,1665.4,191.9,39.7,110.8
28775,27787,Dairy,48,44490,44490,405253,360763,470.1,1612.6,66.2,22.5,41
28776,28664,Dairy,48,35132,0,429669,394537,426.6,1618.4,20.1,18.5,78.4
28777,27569,Dairy,64,71500,20661,484486,412986,466.4,1946.9,61.5,34.6,192.9
28778,27232,SNB,192,14004,13939,184606,170602,427.9,1934.6,338.7,42.2,323.2
28779,28025,Dairy,96,146349,146349,956113,809764,969,1911.5,141.3,35.6,110.9
28780,27621,Dairy,48,71401,71336,457369,385968,450,754.2,19.3,8.6,41.7
28781,27155,Dairy,128,199642,199642,1241425,1041783,1357.3,4976.8,507.4,112.1,576
28782,27115,Dairy,240,338328,267330,2113029,1774701,2236.6,9009.1,288,161.8,954
28783,27948,Crop,64,97713,51877,274908,177195,68.7,1159.9,21.8,15,5.1
28784,27190,SNB,192,-378,0,252888,253266,477,858.6,264,26.7,148.4
28785,28072,Dairy,224,277800,277149,1611223,1333423,1631.5,6462.1,249.3,88.2,169
28786,27473,Dairy,144,142629,106359,1250999,1108370,1250.7,2103.5,15.1,18.3,52.7
28787,28352,Forest,64,50330,50330,297639,247309,-855.8,127.7,188.9,12.7,25
28788,27296,Forest,112,51350,51350,350905,299555,-652.3,634.7,942.5,37,210
28789,27891,Forest,112,50474,40273,392614,342140,-1018.8,273.5,348.9,23.1,63.5
28790,27126,Forest,112,98412,79055,575450,477038,-391,1874.2,211.3,30.6,98.5
28791,27707,Dairy,48,58064,58055,360112,302048,109,1277,87.2,23.8,129.3
28792,28385,Dairy,80,79741,22162,488697,408956,657.8,1369.1,79.7,22.4,161.5
28793,26937,Dairy,48,82431,35517,469599,387168,560.8,1915.2,192.4,40.3,219.6
28794,27203,Dairy,80,77020,77020,769732,692712,817.3,2164.6,23.6,21.8,50.3
28795,27097,Dairy,176,277994,171414,1650429,1372435,1741,6414.8,531.5,123,305.2
28796,27776,Dairy,64,69880,19015,624171,554291,664.1,2183.4,74.2,27.4,106.6
28797,28239,Dairy,112,134994,134974,1078612,943618,1062.1,4241.3,113.3,62.6,342
28798,27629,Dairy,64,93465,93465,490653,397188,673.2,2371.9,255.2,53.6,145.6
28799,28286,Dairy,64,63519,63519,350477,286958,459.2,1942,158.9,40.4,228.8
28800,27767,Dairy,64,66860,9474,480622,413762,535.2,2076.5,152.8,38.4,177.8
28801,27843,Dairy,272,412649,303860,2034046,1621397,2503.4,10459.3,777.1,209.3,775.1
28802,28018,Dairy,112,76209,0,863315,787106,417.9,3187.5,419.8,73.3,344.6
28803,28087,Dairy,112,131463,94320,952381,820918,1039.5,1798.8,33.3,26,97.2
28804,28406,Forest,64,26898,20130,240460,213562,-694.4,129.5,191.4,12.9,24.5
28805,27931,Dairy,80,113615,83112,694808,581193,772.3,1736.4,38.5,24.9,182.4
28806,28697,Dairy,32,28408,18098,269835,241427,297.8,1033.1,13.4,12.5,50.7
28807,28165,Forest,64,56651,47544,298951,242300,-927.2,127,193,12.8,26
