farm_id,farmer_id,farm_type,size_ha,gross_profit,current_profit,current_income,current_costs,ghg_emissions,nitrates,sediment,phosphates,e_coli
28727,28029,Dairy,96,125066,0,602343,477277,820.1,3563.6,385.3,83.1,436.1
28728,27973,Forest,32,28679,9978,142188,113509,-458.1,63.8,98.2,6.5,12.4
28729,28482,SNB,32,7794,0,59856,52062,114.2,348.2,446.7,15.9,131
28730,27066,Dairy,272,368722,0,2435931,2067209,2763.3,10590.5,1095.1,228.4,1177.1
28731,27200,Dairy,160,184020,0,1140106,956086,478.3,4111.5,487.5,93.7,479.2
28732,28010,Forest,96,72501,17009,437491,364990,-1344.9,192,281.3,18.9,38.2
28733,27493,Dairy,128,166021,0,1045463,879442,1274.4,4870.1,511,111.5,596.9
28734,28530,Forest,64,50436,8076,294603,244167,-874.2,126.8,192.4,13,26.6
28735,27246,Dairy,128,150259,0,1203543,1053284,1286.8,4905.9,515.7,111.5,570.5
28736,27937,Forest,64,39491,21449,281916,242425,-861.7,128.5,191.8,12.8,25.9
28737,27758,Forest,96,65135,3663,524414,459279,-1056.5,834.7,257.3,27.1,99.9
28738,28034,Dairy,80,121618,0,687167,565549,486.9,1065.6,112.3,21.3,134.7
28739,26952,Dairy,144,158562,0,962411,803849,1183,2173.8,48.6,24.8,146.6
28740,26972,Forest,432,205287,36544,1653780,1448493,-4882.7,862.4,1301.6,86.6,174.3
28741,27866,Dairy,80,119620,0,789377,669757,838.4,2780.5,192.5,47.9,191.4
28742,27626,SNB,592,47747,47693,577262,529515,1448.8,6068.1,5476.3,209.2,1624.1
28743,27250,Dairy,64,108291,0,738952,630661,666.9,2329.7,251.6,53.4,146.9
28744,27466,Dairy,288,294266,0,2372052,2077786,2427.1,10207.9,481.8,180.3,974.3
28745,27371,SNB,160,12872,0,339162,326290,518.5,1436,652.2,56.5,494.6
28746,26882,Dairy,256,311406,0,1665638,1354232,1973,8508.5,137.3,98.4,266.4
28747,27164,Crop,96,113871,0,394724,280853,99.1,1760.6,34.1,22.6,7.7
28748,27607,Dairy,208,262266,0,1693198,1430932,1812.7,6941.7,229.6,114.3,694
28749,28385,Dairy,80,105315,0,516724,411409,669.2,3137.4,96.9,57.9,323.9
