farm_id,farmer_id,farm_type,size_ha,gross_profit,current_profit,current_income,current_costs,ghg_emissions,nitrates,sediment,phosphates,e_coli
28727,28029,Dairy,96,113520,113197,586369,472849,721.6,1451.4,34,14.8,79.4
28728,27973,Dairy,32,34946,0,296812,261866,325.6,1209.4,39,19.6,127.2
28729,28482,Dairy,32,26891,0,274302,247411,290.6,502.5,11.5,5.2,26.6
28730,27066,Dairy,272,254074,0,1966782,1712708,2206.5,4121,454.1,85.7,429.5
28731,27200,Dairy,160,147946,147785,1132694,984748,973.2,2377.6,78.5,31.6,113.8
28732,28010,Forest,96,64006,64006,443442,379436,-1379.4,192.7,291.8,19.3,38.5
28733,27493,Dairy,128,129257,0,996804,867547,1196.5,4843.6,285.2,96,545.2
28734,28530,SNB,64,6644,0,178700,172056,222.9,305.9,203.8,15.9,103.4
28735,27246,Forest,128,126235,52119,611371,485136,-1752.3,256.8,386.2,25.9,52.1
28736,27937,Forest,64,44879,0,530614,485735,565.6,2137.3,26.6,24.2,52.5
28737,27758,Dairy,96,153924,0,1052574,898650,1064,3592.3,380.4,81.8,434.9
28738,28034,Dairy,80,106783,0,732320,625537,742,1303.1,78.9,23.2,81
28739,26952,Dairy,144,136454,0,949553,813099,1142,2075.8,50.2,22.4,117.3
28740,26972,Forest,432,218900,218900,1655027,1436127,-4907.2,863.3,1285.8,86.6,173.5
28741,27866,Crop,80,118861,118861,555931,437070,403.3,2082.7,145.4,37.9,144.1
28742,27626,SNB,592,45749,45575,569732,523983,1406.2,6277.4,2075.7,184.7,1563.7
28743,27250,Forest,64,63584,12244,310632,247048,-988.9,129.3,185.9,12.7,25.8
28744,27466,Dairy,288,307694,0,2192405,1884711,1518.4,8620.1,341,120.9,565.9
28745,27371,SNB,160,14202,14080,345759,331557,510.8,1383.3,633.1,51.4,446.5
28746,26882,Dairy,256,365280,5398,1720034,1354754,2289.5,9283.5,925.5,199.5,1074.7
28747,27164,Dairy,96,108340,0,911455,803115,892.9,3023.8,40.1,35.1,74.1
28748,27607,Dairy,208,179314,0,1775919,1596605,1569.8,6573.3,132.8,72.2,321.8
28749,28385,Forest,80,56952,17894,320257,263305,-883.9,158.7,249.2,16.5,32.7
28750,27601,Forest,128,72768,2060,593449,520681,-1817.3,256,384.8,25.3,51.8
