farm_id,farmer_id,farm_type,size_ha,gross_profit,current_profit,current_income,current_costs,ghg_emissions,nitrates,sediment,phosphates,e_coli
28727,28029,Forest,96,51979,51979,374052,322073,-1074.1,193.3,287.2,19.3,38.5
28728,27973,Dairy,32,42454,15765,292046,249592,294.8,552.5,9.7,7.5,55.5
28729,28482,Forest,32,39715,13631,265037,225322,301.6,534.3,32.1,9.2,61.7
28730,27066,Forest,272,205143,205143,1489432,1284289,-2112.1,2859.9,895.7,95.4,378.7
28731,27200,Dairy,160,140567,31454,1166202,1025635,1115.5,2379.7,150.6,37.2,220
28732,28010,Forest,96,56298,56298,434795,378497,-1362.3,192.8,283.3,19.4,38.2
28733,27493,SNB,128,45878,20248,338213,292335,-398.6,883.5,531.9,31.5,164.8
28734,28530,Forest,64,29849,10451,277901,248052,-882.7,127.7,194.8,12.7,24.6
28735,27246,Forest,128,87448,49914,578695,491247,-1700.7,256.5,380.3,25.6,50.6
28736,27937,Crop,64,109624,52219,281595,171971,67.6,1272.1,63.4,24.6,12.6
28737,27758,Forest,96,65974,22535,518869,452895,-1042.4,763.3,303.2,31.3,67.5
28738,28034,Dairy,80,115866,51690,665838,549972,450.8,1127.9,109.5,21.5,140.8
28739,26952,Forest,144,81126,24045,708205,627079,-1016.5,734.2,352.4,27.8,71.1
28740,26972,Forest,432,236428,236428,1660678,1424250,-4887.3,866.7,1301.5,86.2,172.8
28741,27866,Dairy,80,99256,36517,808289,709033,845.7,1968,145.6,35.1,185.7
28742,27626,SNB,592,57243,57243,580499,523256,1455.2,6131.6,5578.4,213.1,1694.7
28743,27250,Dairy,64,61111,0,684278,623167,709.4,1064.6,64.7,17.9,129.9
28744,27466,Dairy,288,410566,209978,2405294,1994728,2555.1,10500.5,389.4,183.2,1095.5
28745,27371,SNB,160,7249,7025,332328,325079,494.7,1003.9,318.5,39.2,306.7
28746,26882,Forest,256,205243,114346,1235730,1030487,-1690.9,2759.5,741.2,83.9,323
