from,to
27427,26864
27816,26864
27970,26864
26865,26997
27245,26865
27806,26865
27912,26865
26865,28025
26865,28146
26865,28188
26865,28243
26866,27007
26866,27224
26866,27472
27521,26866
27885,26866
26866,27902
28087,26866
28455,26866
26866,28522
26867,27529
26867,27619
26867,27690
27817,26867
28491,26867
26867,28664
26868,26943
27018,26868
27340,26868
27550,26868
27697,26868
27956,26868
28476,26868
26868,28550
26869,27030
26869,27454
27923,26869
26869,28532
26907,26870
26870,27116
27142,26870
28213,26870
26870,28418
27492,26871
26871,27951
26871,28147
26871,28601
26871,28695
27123,26872
27305,26872
26872,27358
26872,28091
28395,26872
27127,26873
26873,27403
26873,27438
28016,26873
26873,28153
26873,28626
26873,28662
26900,26874
26874,27004
27692,26874
27979,26874
28073,26874
28405,26874
27002,26875
27158,26875
26875,27335
28411,26875
26875,28499
26876,26911
26876,26941
26876,27150
27334,26876
27506,26876
27766,26876
28472,26876
26913,26877
26877,27684
26877,28180
26877,28430
26878,27258
27439,26878
26878,28230
26878,28673
26878,28679
26879,26956
26879,27010
26879,27356
27447,26879
27571,26879
28198,26879
26906,26880
26880,26928
26880,26930
26880,26948
27104,26880
26880,27141
27167,26880
26880,27713
26880,28177
26881,27174
26881,27476
26881,27521
28503,26881
28621,26881
28640,26881
28651,26881
27043,26882
26882,27602
27801,26882
28131,26882
28235,26882
28412,26882
28485,26882
26882,28532
26883,28039
28177,26883
28387,26883
28536,26883
26883,28561
27228,26884
26884,27306
28215,26884
28238,26884
26885,27453
26885,27690
28088,26885
26885,28281
26885,28400
28534,26885
26944,26886
27081,26886
27736,26886
26886,27773
26886,27927
26886,28125
28581,26886
27168,26887
27458,26887
26887,27922
26887,28134
28390,26887
27475,26888
27494,26888
28039,26888
26888,28678
26889,26913
27061,26889
27267,26889
27566,26889
27581,26889
26889,28430
28541,26889
26890,27112
26890,27639
26890,27753
26891,27207
26891,27402
28103,26891
28270,26891
28362,26891
27037,26892
27331,26892
26892,27333
26892,28308
26892,28567
26893,27304
26893,27884
26893,28290
28474,26893
26893,28487
28539,26893
27001,26894
27195,26894
26894,27822
26894,28461
28520,26894
26895,27075
26895,27424
27663,26895
26895,27782
28461,26895
28687,26895
26896,27150
27154,26896
26896,27334
26896,27362
27508,26896
26896,27932
26896,28472
26897,27483
26897,27594
27988,26897
28172,26897
26897,28612
26989,26898
27448,26898
27708,26898
28554,26898
26899,27292
26899,27671
26899,28032
26899,28199
26899,28654
27004,26900
27038,26900
26900,27098
27226,26900
27444,26900
27525,26900
27403,26901
28496,26901
26901,28534
26901,28724
26902,27561
27740,26902
26902,27980
28243,26902
28422,26902
27449,26903
26903,27804
26903,27985
27633,26904
27937,26904
26904,28170
28318,26904
28679,26904
26905,26998
27091,26905
27108,26905
26905,27178
27459,26905
28716,26905
26930,26906
27008,26906
27104,26906
27268,26906
27630,26906
26906,28376
26907,27116
27507,26907
26907,27932
26907,28213
27425,26908
27445,26908
26908,27813
27985,26908
28126,26908
26908,28503
26908,28683
27356,26909
26909,27495
26909,27571
26909,28198
26910,27643
26910,28365
26910,28436
27334,26911
27506,26911
26911,27508
26911,27639
28722,26911
26912,27997
28582,26912
26912,28629
26933,26913
27054,26913
27366,26913
26913,27814
28453,26913
26924,26914
26914,26987
26914,27949
26914,28224
26914,28384
26914,28708
26915,27158
27186,26915
26915,27505
26915,27722
28050,26915
26915,28129
26916,27093
27348,26916
27828,26916
26916,27994
26916,28261
26916,28340
26916,28543
26916,28706
26917,27179
26917,27607
26917,27719
26917,28279
26917,28656
27330,26918
27963,26918
28294,26918
26918,28470
26918,28482
26919,27171
26919,27191
26919,27395
26919,27408
26919,27520
27608,26919
27738,26919
26919,27830
26919,28620
26920,26960
26920,26986
27708,26920
26920,27783
27891,26920
27966,26920
26921,26930
27065,26921
26921,27712
28397,26921
28667,26921
26922,27011
26922,27635
27709,26922
26922,28164
26922,28644
26923,27151
27468,26923
26923,27481
27721,26923
26924,27093
26924,27503
27949,26924
26924,28057
26924,28384
27359,26925
26925,27781
26925,27928
28310,26925
27106,26926
27199,26926
27482,26926
26926,27636
26926,27673
26926,28181
28264,26926
26927,27321
28036,26927
28223,26927
28321,26927
28454,26927
26928,28387
28561,26928
28667,26928
27237,26929
27411,26929
28080,26929
28203,26929
26929,28591
26929,28632
26929,28684
27008,26930
26930,27713
26930,28397
28667,26930
27795,26931
26931,27805
26931,27809
28373,26931
28666,26931
27044,26932
26932,27136
26932,27505
27722,26932
26932,28506
27964,26933
28430,26933
26933,28453
28509,26933
27301,26934
27455,26934
26934,27469
26934,28118
28716,26934
27047,26935
26935,27220
27298,26935
26935,27684
26935,27762
28510,26935
26937,26936
26936,27058
26936,27677
27180,26937
28031,26937
26937,28071
26937,28307
26938,27106
27341,26938
27470,26938
27651,26938
27961,26938
26938,28355
28475,26938
26938,28711
26939,27035
26939,27549
26939,27589
26939,28265
26939,28714
27248,26940
26940,27453
27627,26940
28624,26940
26941,27116
27142,26941
27506,26941
27508,26941
26941,27731
26941,28157
28514,26941
