farmer_id,farm_id,farm_type,size_ha,disposition,age,inherited,succession_stage,loan_principal,loan_rate,current_debt,debt_payments,debt_maturity,debt_free,debt_service_ratio,n_holdings,n_local_links,n_catchment_links,Build_Wetland,Clean_Races,Farm_Plan,Riparian_Planting,x,y
26864,30312,Forest,64,for_profit,75,FALSE,4,298125,3,91771.29976615992,20039,20,FALSE,0.21,1,15,9,0,0,0,0,38,259
26865,29026,Forest,128,pro_environmental,62,TRUE,2,0,0,0,0,21,TRUE,0,1,11,13,0,0,0,0,81,166
26866,29861,Dairy,96,for_profit,36,TRUE,4,720546,3,221804.42083457432,48432,20,FALSE,0.127,1,11,13,1,0,0,0,56,261
26867,29186,Dairy,96,for_profit,64,FALSE,1,1440,3,1440,97,5,FALSE,0.001,3,14,7,2,0,2,2,89,180
26868,29952,Forest,80,for_profit,52,FALSE,2,67557,3,54208.868656938146,4541,10,FALSE,0.335,1,6,8,0,0,0,0,44,222
26869,30381,SNB,240,for_profit,51,TRUE,2,800,3,800,54,5,FALSE,0.001,5,10,13,0,0,4,5,94,95
26870,29753,Forest,928,pro_environmental,56,TRUE,2,0,0,0,0,21,TRUE,0,5,10,12,0,0,0,0,137,37
26871,29924,Dairy,144,for_profit,64,TRUE,2,1600,3,1600,108,0,FALSE,0,3,9,14,0,0,1,2,118,70
26872,30259,Forest,224,for_profit,43,TRUE,4,0,0,0,0,21,TRUE,0,3,6,13,0,0,0,0,84,303
26873,29306,SNB,656,for_profit,65,TRUE,4,1003345,3,575281.520926247,67441,15,FALSE,0.385,3,9,11,1,0,0,0,106,207
26874,29760,Dairy,32,for_profit,70,TRUE,2,0,0,0,0,21,TRUE,0,1,9,14,0,1,0,0,28,273
26875,30404,Dairy,176,for_profit,57,TRUE,2,3437,3,1058.005726780014,403,20,FALSE,0,2,14,15,2,0,0,0,114,133
26876,30292,SNB,464,for_profit,52,FALSE,3,8191,3,8191,686,5,FALSE,0.003,8,11,10,5,0,0,7,148,26
26877,30495,Forest,48,for_profit,40,FALSE,5,92604,3,92604,6224,5,FALSE,0.602,1,14,9,0,0,0,0,134,217
26878,29982,Dairy,192,for_profit,81,TRUE,1,5760,3,5760,387,5,FALSE,0.002,1,14,9,1,1,0,1,63,189
26879,29587,Dairy,128,for_profit,80,TRUE,2,2235,3,2235,488,15,FALSE,0.001,3,11,11,3,2,3,0,18,254
26880,29874,SNB,624,for_profit,70,TRUE,2,254,3,254,55,15,FALSE,0,4,16,15,1,0,2,0,58,135
26881,28930,Dairy,192,pro_environmental,56,TRUE,3,0,0,0,0,21,TRUE,0,1,15,12,1,0,0,0,67,266
26882,28859,Dairy,256,for_profit,73,TRUE,2,4365,3,4365,512,10,FALSE,0.001,4,15,13,4,4,4,0,93,106
26883,28928,Dairy,96,for_profit,53,FALSE,2,1068608,3,1068608,71827,5,FALSE,0.595,2,12,11,1,1,1,1,66,139
26884,28981,Dairy,112,for_profit,55,TRUE,3,834,3,834,70,5,FALSE,0,3,12,15,3,1,2,3,103,172
26885,29406,Dairy,144,for_profit,67,FALSE,3,712220,3,571497.2606072574,47872,10,FALSE,0.251,2,9,11,0,0,2,0,84,182
