,SNB,Dairy,Forest,Crop
LUC1_Mean,768.5056604,1503,30,9667
LUC1_SD,153.7011321,300.6,6,1933.4
LUC2_Mean,581.2473323,1283,29,9183.65
LUC2_SD,116.2494665,256.6,5.8,1836.73
LUC3_Mean,372.3712871,1174.3,28,8724.4675
LUC3_SD,74.47425743,234.86,5.6,1744.8935
LUC4_Mean,332.1783784,923.39,27,8288.244125
LUC4_SD,66.43567568,184.678,5.4,1657.648825
LUC5_Mean,259.4803357,877.7307692,26,7873.831919
LUC5_SD,51.89606715,175.5461538,5.2,1574.766384
LUC6_Mean,207.3869712,845.78125,25,7480.140323
LUC6_SD,41.47739425,169.15625,5,1496.028065
LUC7_Mean,193.1884277,700,24,7106.133307
LUC7_SD,38.63768553,140,4.8,1421.226661
LUC8_Mean,49.94520767,661,23,6750.826641
LUC8_SD,9.989041534,132.2,4.6,1350.165328
