parameter_name,value
run-seed,0
geography-seed,1553817984
output_data_folder,/Users/david/Documents/work/mwlr-moving-the-middle/abm/data/output
market_data_folder,/Users/david/Documents/work/mwlr-moving-the-middle/abm/data/market/default
spatial_data_folder,/Users/david/Documents/work/mwlr-moving-the-middle/abm/data/spatial/Oreti
geography_from_files,true
scenario,default
region,Rangitaiki
LUC_aggregation_steps,90
number_of_farms,250
correlated_landuse,true
landuse_aggregation_steps,5
include_networks,false
rel_weight_locals,0.5
rel_weight_catchment,0.1
sigmoid_slope,10
landuse_change_on_succession,true
prioritise_forestry,true
apply_severity_of_losses,false
apply_suitability,true
bad_years_trigger,1
years_to_remember,10
