mean_or_sd,LUC,SNB,Dairy,Forest,Crop
Mean,1,768.5056604,1503,30,9667
Mean,2,581.2473323,1283,29,9183.65
Mean,3,372.3712871,1174.3,28,8724.4675
Mean,4,332.1783784,923.39,27,8288.244125
Mean,5,259.4803357,877.7307692,26,7873.831919
Mean,6,207.3869712,845.78125,25,7480.140323
Mean,7,193.1884277,700,24,7106.133307
Mean,8,49.94520767,661,23,6750.826641
SD,1,153.7011321,300.6,6,1933.4
SD,2,116.2494665,256.6,5.8,1836.73
SD,3,74.47425743,234.86,5.6,1744.8935
SD,4,66.43567568,184.678,5.4,1657.648825
SD,5,51.89606715,175.5461538,5.2,1574.766384
SD,6,41.47739425,169.15625,5,1496.028065
SD,7,38.63768553,140,4.8,1421.226661
SD,8,9.989041534,132.2,4.6,1350.165328
