"",,,Interventions,None,,,Build_Wetland,,,Clean_Races,,,Farm_Plan,,,Join_ETS,,,Riparian_Planting,,
"",Type,Price,Area,Cost,Income,Revenue,Cost,Income,Revenue,Cost,Income,Revenue,Cost,Income,Revenue,Cost,Income,Revenue,Cost,Income,Revenue
4595,SNB,5,82,190782.9,192798.2,2015.3,192081.1,154238.6,-37842.5,NA,NA,NA,190823.8,183158.3,-7665.5,187105.8,144598.7,-42507.1,192163.1,154238.6,-37924.5
4596,SNB,5,60,38041.7,39731.8,1690.1,39142.9,31785.4,-7357.5,NA,NA,NA,38162.4,37745.2,-417.2,36107.6,29798.8,-6308.8,39202.9,31785.4,-7417.5
4597,SNB,5,85,114632.7,128802.3,14169.5,116130.2,103041.8,-13088.4,NA,NA,NA,114766.2,122362.2,7595.9,111580.3,96601.7,-14978.6,116215.2,103041.8,-13173.4
4598,Forest,157,52,177947.6,214509.2,36561.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,178932.2,235960.1,57027.9,NA,NA,NA
4599,SNB,5,63,81324.8,84590.9,3266.1,82421.3,67672.8,-14748.6,NA,NA,NA,81415.7,80361.4,-1054.3,78995.1,63443.2,-15551.9,82484.3,67672.8,-14811.6
4600,Dairy,7.5,92,640653.4,752121.3,111467.9,645812.5,737078.9,91266.4,647334.1,752121.3,104787.3,642684.5,744600.1,101915.6,631984,564091,-67893,646527.3,737078.9,90551.6
4601,Crop,0.5,201,481796,793987.1,312191.1,488383.6,714588.4,226204.8,NA,NA,NA,NA,NA,NA,500664.1,714588.4,213924.3,483809.9,786047.2,302237.3
4602,Crop,0.5,306,730504,1211868,481364,740538.5,1090681.2,350142.7,NA,NA,NA,NA,NA,NA,759256.6,1090681.2,331424.6,733574.4,1199749.4,466174.9
4603,Crop,0.5,161,363416.8,590685.7,227269,368710.1,531617.2,162907.1,NA,NA,NA,NA,NA,NA,378613.4,531617.2,153003.8,365043.2,584778.9,219735.7
4604,SNB,5,26,35103.3,38063.1,2959.7,35533.9,30450.5,-5083.5,NA,NA,NA,35127.7,36159.9,1032.2,34032.4,28547.3,-5485.1,35559.9,30450.5,-5109.5
4605,Forest,157,148,483283,589825.9,106542.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,486178.9,648808.5,162629.6,NA,NA,NA
4606,Forest,157,68,233467.1,280020,46552.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,234637.7,308022,73384.3,NA,NA,NA
4607,Crop,0.5,176,442081.2,740143.5,298062.3,447832.7,666129.1,218296.4,NA,NA,NA,NA,NA,NA,458518.6,666129.1,207610.5,443831.2,732742,288910.9
4608,Dairy,7.5,22,126335.5,155364.4,29028.9,127572.4,152257.1,24684.8,127933.7,155364.4,27430.7,126824.4,153810.8,26986.4,124293.9,116523.3,-7770.6,127742,152257.1,24515.1
4609,SNB,5,105,168901.3,186074.8,17173.5,170655.7,148859.8,-21795.8,NA,NA,NA,169008.9,176771.1,7762.2,164653.1,139556.1,-25097,170760.7,148859.8,-21900.8
4610,SNB,5,90,105110.6,111863,6752.4,106659.6,89490.4,-17169.2,NA,NA,NA,105230,106269.9,1039.8,101695.7,83897.3,-17798.4,106749.6,89490.4,-17259.2
4611,Dairy,7.5,23,144225.1,160071.6,15846.5,145488.7,156870.2,11381.5,145890,160071.6,14181.6,144706.7,158470.9,13764.2,141795.6,120053.7,-21741.8,145677.9,156870.2,11192.3
4612,Crop,0.5,34,93387,140844.8,47457.8,94492.8,126760.3,32267.5,NA,NA,NA,NA,NA,NA,96536,126760.3,30224.3,93720.8,139436.4,45715.5
4613,Crop,0.5,169,454382.4,723929.7,269547.3,459899.3,651536.7,191637.4,NA,NA,NA,NA,NA,NA,470136.9,651536.7,181399.8,456058.1,716690.4,260632.3
4614,Dairy,7.5,24,148252,195685.4,47433.5,149607.3,191771.7,42164.4,149996.6,195685.4,45688.8,148791.3,193728.6,44937.3,146085.2,146764.1,678.9,149790,191771.7,41981.8
4615,Crop,0.5,295,764564.5,1231881.6,467317.1,774209.8,1108693.4,334483.7,NA,NA,NA,NA,NA,NA,792140.8,1108693.4,316552.6,767501.7,1219562.8,452061.1
4616,Crop,0.5,63,151904.5,253045.6,101141,153962.5,227741,73778.5,NA,NA,NA,NA,NA,NA,157784.4,227741,69956.6,152530.3,250515.1,97984.8
4617,SNB,5,120,166473.3,186390.6,19917.3,168503.7,149112.5,-19391.2,NA,NA,NA,166611.5,177071.1,10459.6,161745.3,139793,-21952.3,168623.7,149112.5,-19511.2
4618,Crop,0.5,68,168313.7,274272.8,105959.1,170545.4,246845.5,76300.1,NA,NA,NA,NA,NA,NA,174712.3,246845.5,72133.2,168997.5,271530.1,102532.6
4619,Forest,157,51,156798.5,201422.3,44623.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,157818.1,221564.5,63746.4,NA,NA,NA
4620,Dairy,7.5,145,803830.3,941923.9,138093.6,812043.1,923085.4,111042.4,814375.9,941923.9,127548.1,807113.1,932504.7,125391.6,790982.8,706442.9,-84539.9,813137,923085.4,109948.5
4621,Crop,0.5,66,144440.6,240464.3,96023.7,146606.5,216417.9,69811.4,NA,NA,NA,NA,NA,NA,150650,216417.9,65767.9,145104.1,238059.7,92955.6
4622,Dairy,7.5,134,961273.2,1156678,195404.8,968784.8,1133544.5,164759.6,971003.1,1156678,185674.9,964228.8,1145111.2,180882.4,948619.6,867508.5,-81111.1,969827,1133544.5,163717.5
4623,Crop,0.5,126,319517,514555.7,195038.7,323639.9,463100.2,139460.2,NA,NA,NA,NA,NA,NA,331311.5,463100.2,131788.7,320774.2,509410.2,188636
4624,SNB,5,57,133029.5,145519.3,12489.8,133947.2,116415.4,-17531.8,NA,NA,NA,133067.1,138243.3,5176.2,130549.9,109139.4,-21410.5,134004.2,116415.4,-17588.8
4625,Dairy,7.5,41,246392.4,283347.4,36955,248717.4,277680.4,28963.1,249374.8,283347.4,33972.6,247323.4,280513.9,33190.6,242787.3,212510.5,-30276.7,249025.6,277680.4,28654.9
4626,Crop,0.5,26,53739.7,97093,43353.3,54592,87383.7,32791.7,NA,NA,NA,NA,NA,NA,56181.4,87383.7,31202.2,54000.3,96122,42121.7
