"",Type,Area,None,Build_Wetland,Clean_Races,Farm_Plan,Join_ETS,Riparian_Planting
4713,Dairy,97,141024.9,117572.5,133987.4,129892.4,-75073.9,116806.5
4714,Crop,91,124345.5,85868.1,NA,NA,80333.8,119888.7
4715,Dairy,106,130712.3,110300.6,122988.4,121071.7,-39810.3,109530.4
4716,SNB,94,15520.8,-13104.3,NA,8645.3,-14660.4,-13198.3
4717,SNB,83,7122.3,-5114,NA,4280.2,-3560.1,-5197
4718,Crop,78,113766.6,79500.6,NA,NA,74746,109816.1
4719,Forest,73,40412.2,NA,NA,NA,68075.5,NA
4720,SNB,120,14460.4,-22836.2,NA,5481.2,-25155.7,-22956.2
4721,Crop,86,128717.7,91237.6,NA,NA,86022.1,124396.7
4722,Forest,54,45026.4,NA,NA,NA,67958.4,NA
4723,Forest,46,35581,NA,NA,NA,53601.7,NA
4724,Forest,57,61123.9,NA,NA,NA,86137.2,NA
4725,Crop,153,239193.6,175022.9,NA,NA,165657.6,231741.9
4726,Crop,90,144342.8,102240.1,NA,NA,96778.2,139532.2
4727,SNB,138,26384,-25341.6,NA,13891.6,-29764,-25479.6
4728,Dairy,112,119068.5,95688.1,110923.3,108015.2,-83971.2,94842.6
4729,SNB,84,35505.4,-26446.2,NA,20329,-36281,-26530.2
4730,Crop,56,101238.9,74878,NA,NA,71463.7,98226.6
4731,Crop,143,217300,156591.4,NA,NA,147828.4,210260.5
4732,SNB,62,5096.4,-13011.6,NA,753.2,-13859.9,-13073.6
4733,Dairy,97,141714.6,119542.7,134673.5,131213.2,-58332.7,118784
4734,SNB,119,7198.8,-27379.5,NA,-1123.1,-29285.6,-27498.5
4735,Crop,105,156780.8,112540.6,NA,NA,106141.5,151651.7
4736,SNB,77,14349,-25887.9,NA,4552.1,-31013.1,-25964.9
4737,SNB,101,10424.3,-32701.4,NA,-43.7,-37339.2,-32802.4
4738,SNB,154,16174.4,-12640.8,NA,9375.7,-11257.5,-12794.8
4739,Forest,88,65481.3,NA,NA,NA,100626.8,NA
4740,Dairy,46,33401.2,23187.4,30062.7,28573.1,-57715.6,22826.3
4741,Forest,36,35288.4,NA,NA,NA,50251.7,NA
4742,Forest,181,150827.5,NA,NA,NA,223869,NA
4743,SNB,127,13032.1,-21201,NA,4839.3,-22341.9,-21328
4744,SNB,92,12689.5,-16986.2,NA,5537.9,-19004.4,-17078.2
4745,Forest,161,113821.7,NA,NA,NA,175696.7,NA
4746,SNB,175,15622.6,-42731.4,NA,1544.3,-47028.1,-42906.4
4747,SNB,88,14327.6,-8926.8,NA,8736.7,-9928,-9014.8
4748,Forest,34,28742.7,NA,NA,NA,41521.3,NA
4749,Forest,69,59840.7,NA,NA,NA,89136.7,NA
4750,SNB,89,22890.5,-10913.9,NA,14696.8,-14153.4,-11002.9
4751,SNB,120,26989.8,-46583.4,NA,9020.3,-57126.8,-46703.4
4752,Crop,95,146469.4,107796.1,NA,NA,101945.3,141953.4
4753,SNB,156,18613.4,-36098,NA,5402.6,-40470.7,-36254
4754,Forest,142,104073.9,NA,NA,NA,161993.8,NA
4755,Crop,113,171634.4,124604.9,NA,NA,117709.1,166171
4756,Forest,195,179903.3,NA,NA,NA,261234.6,NA
4757,SNB,94,-364.5,-34435.7,NA,-8575.4,-37073.7,-34529.7
4758,Dairy,101,109213.4,90545,101870.1,100458.5,-43712.7,89778.6
4759,SNB,63,12304.4,-6723.3,NA,7726,-7830.3,-6786.3
4760,Dairy,76,89645.6,74622.6,84121.3,82573.5,-37638.3,74043.1
4761,SNB,38,3812.8,-14997.3,NA,-762.3,-17287,-15035.3
4762,Crop,99,146715.5,99358.7,NA,NA,93389.1,141326.2
4763,Dairy,96,75470.7,56703.4,68477.6,66604.5,-82507.7,56001.4
4764,Dairy,166,204282.5,170328.8,192212.8,188256.5,-87943,169070.1
4765,SNB,104,16705.5,-29812.4,NA,5424.5,-34841.2,-29916.4
4766,Dairy,169,190876.9,156780,178574.1,174758.9,-100561.8,155528.6
4767,Crop,132,187537.5,134050,NA,NA,125970.5,181296.2
4768,Crop,69,113946.8,82173.8,NA,NA,77992.8,110310.4
4769,Forest,62,54645.6,NA,NA,NA,82320.4,NA
4770,SNB,141,22582.8,-32571.3,NA,9219.6,-37915,-32712.3
4771,Crop,101,137005.2,95874.3,NA,NA,89686.8,132208.2
4772,Crop,98,147357.5,106940.9,NA,NA,100932.6,142651.5
4773,Crop,150,229884.7,162635.6,NA,NA,153487.5,222151.4
4774,Forest,63,40381.9,NA,NA,NA,64055.4,NA
4775,Dairy,95,113445.4,91351.5,106545.8,102961.9,-87170.4,90615.8
