tick,income_costs_income,income_costs_costs,interventions_Build_Wetland,interventions_Clean_Races,interventions_Farm_Plan,interventions_Join_ETS,interventions_Riparian_Planting,landuse_Crop,landuse_Dairy,landuse_Forest,landuse_SNB,env_metrics_ghg_emissions,env_metrics_nitrates
0,53212654,45348116,29,0,446,531,36,80,4445,1009,5940,0.2326007326007326,0.7319902319902319
1,53216040,45275541,89,0,828,801,90,74,3844,1913,5643,0.22466422466422467,0.7112332112332113
2,51337171,43377923,156,0,1225,1518,122,60,3350,2703,5361,0.20085470085470086,0.6318681318681318
3,50194806,42172135,207,7,1475,2263,192,63,2949,3416,5046,0.15445665445665446,0.5494505494505495
4,49396520,41545798,283,12,1718,2914,202,49,2456,4163,4806,0.1330891330891331,0.48717948717948717
5,48072451,40300193,417,12,1948,3571,299,54,2087,4748,4585,0.10622710622710622,0.43956043956043955
6,47400281,39532890,443,13,2062,4180,339,56,1839,5243,4336,0.07448107448107448,0.3766788766788767
7,47264301,39135702,500,14,2085,4718,384,51,1650,5631,4142,0.06471306471306472,0.33577533577533575
8,47054100,38662849,511,13,2153,5168,410,50,1389,6047,3988,0.06043956043956044,0.30097680097680096
9,46431256,38356737,498,14,2182,5597,422,41,1206,6458,3769,0.047619047619047616,0.28205128205128205
10,46252601,38009791,522,17,2152,6033,337,38,1094,6783,3559,0.03724053724053724,0.23870573870573872
