tick,income_costs_income,income_costs_costs,income_costs_debt,interventions_Build_Wetland,interventions_Clean_Races,interventions_Farm_Plan,interventions_Riparian_Planting,landuse_Crop,landuse_Dairy,landuse_Forest,landuse_SNB,env_metrics_ghg_emissions,env_metrics_nitrates,env_metrics_sediment,env_metrics_phosphates,env_metrics_e_coli
0,719112410,616362962,193829254,916,352,890,1109,68,3558,1314,5442,0.9359712230215828,1,1,1,0.9899280575539569
1,718979993,616037553,243652400,1719,508,1718,1768,80,3402,1651,5249,0.9359712230215828,1,1,1,0.9899280575539569
2,713777943,613731077,233892263,2400,657,2384,2451,99,3306,1988,4989,0.8964028776978418,1,1,1,0.9884892086330935
3,715758014,617633546,210926553,2986,813,3001,3215,124,3258,2172,4828,0.8539568345323741,1,1,1,0.9856115107913669
4,714962124,619914801,193649737,3856,959,3728,3878,149,3147,2335,4751,0.8258992805755395,1,1,1,0.981294964028777
5,710477057,619102689,176860814,4384,1197,4469,4407,187,3121,2503,4571,0.7971223021582734,1,1,1,0.9776978417266187
6,714829809,623339141,185101638,4755,1312,4745,4743,236,3041,2696,4409,0.7820143884892087,1,1,1,0.9705035971223022
7,708463340,619245652,189881494,5044,1414,5080,4898,239,2972,2851,4320,0.7640287769784173,1,1,1,0.9683453237410072
8,708827392,620393730,206099452,5193,1595,5248,5173,249,2913,2989,4231,0.7345323741007195,1,1,1,0.9676258992805755
9,705381487,618737586,213752515,5379,1751,5391,5420,244,2881,3117,4140,0.7179856115107913,1,1,1,0.9661870503597122
10,708456699,621689136,206415922,5565,1860,5473,5625,254,2860,3214,4054,0.6992805755395683,1,1,1,0.9669064748201439
