tick,income_costs_income,income_costs_costs,income_costs_debt,interventions_Build_Wetland,interventions_Clean_Races,interventions_Farm_Plan,interventions_Riparian_Planting,intervention_limits_Build_Wetland,intervention_limits_Clean_Races,intervention_limits_Farm_Plan,intervention_limits_Riparian_Planting,intervention_props_Build_Wetland,intervention_props_Clean_Races,intervention_props_Farm_Plan,intervention_props_Riparian_Planting,landuse_Crop,landuse_Dairy,landuse_Forest,landuse_SNB,env_metrics_ghg_emissions,env_metrics_nitrates,env_metrics_sediment,env_metrics_phosphates,env_metrics_e_coli
0,719112410,616362962,193829254,916,352,890,1109,9068,3558,9000,9068,0.101,0.0989,0.0989,0.1223,68,3558,1314,5442,590757,3184864,1606592,96565,613091
1,718979993,616037553,248046095,1594,526,1760,1787,9055,3538,8974,9055,0.176,0.1487,0.1961,0.1973,81,3538,1327,5436,583987,3176224,1605488,96368,611391
2,713851625,614770883,254503734,2316,708,2393,2401,9049,3538,8968,9049,0.2559,0.2001,0.2668,0.2653,81,3538,1333,5430,582571,3175360,1604144,96339,611046
3,711902589,614483639,220689023,2983,893,3283,3311,9034,3528,8944,9034,0.3302,0.2531,0.3671,0.3665,90,3528,1348,5416,577170,3170176,1601328,96199,609554
4,708772978,616360688,213132299,3787,1133,4058,3947,8988,3521,8896,8988,0.4213,0.3218,0.4562,0.4391,92,3521,1394,5375,564245,3160816,1593472,95933,606727
5,706215627,617011560,195920450,4579,1329,4754,4556,8954,3515,8864,8954,0.5114,0.3781,0.5363,0.5088,90,3515,1428,5349,554428,3153040,1588752,95741,604842
6,703718239,617339059,185258463,5363,1561,5244,5150,8922,3501,8832,8922,0.6011,0.4459,0.5938,0.5772,90,3501,1460,5331,544062,3142384,1585344,95510,602887
7,700165530,616671219,188934327,5857,1724,5827,5643,8889,3498,8799,8889,0.6589,0.4929,0.6622,0.6348,90,3498,1493,5301,534615,3136336,1580016,95335,600962
8,698687700,617792620,213853726,6201,1946,6146,6064,8844,3484,8762,8844,0.7012,0.5586,0.7014,0.6857,82,3484,1538,5278,521044,3122656,1575744,95052,598744
9,696406792,618040271,202694909,6546,2053,6453,6419,8800,3445,8718,8800,0.7439,0.5959,0.7402,0.7294,82,3445,1582,5273,505083,3099472,1574240,94623,595898
10,692270399,616857923,186506663,6805,2184,6665,6662,8732,3426,8650,8732,0.7793,0.6375,0.7705,0.7629,82,3426,1650,5224,484756,3081472,1564960,94191,591829
