Costs,,,,,,Income,,,,,,,,,,,,,,,
mean_or_sd,LUC,SNB,Dairy,Forest,Crop,mean_or_sd,LUC,SNB,Dairy,Forest,Crop,,,,,,,,,,
Mean,1.00,3500.00,9500.00,4000.00,3000.00,Mean,1.00,768.51,1503.00,30.00,9667.00,,342.53,1772.50,710.00,1833.50,,,,,
Mean,2.00,2650.00,8050.00,4000.00,2850.00,Mean,2.00,581.25,1283.00,29.00,9183.65,,256.24,1572.50,553.00,1741.83,,,,,
Mean,3.00,1625.00,7350.00,3850.00,2675.00,Mean,3.00,372.37,1174.30,28.00,8724.47,,236.86,1457.25,546.00,1687.23,,,,,
Mean,4.00,1450.00,5500.00,3700.00,2500.00,Mean,4.00,332.18,923.39,27.00,8288.24,,210.89,1425.43,539.00,1644.12,,,,,
Mean,5.00,1110.00,5200.00,3550.00,2400.00,Mean,5.00,259.48,877.73,26.00,7873.83,,187.40,1382.98,532.00,1536.92,,,,,
Mean,6.00,875.00,5000.00,3500.00,2200.00,Mean,6.00,207.39,845.78,25.00,7480.14,,161.93,1343.36,425.00,1540.07,,,,,
Mean,7.00,810.00,4000.00,3375.00,2100.00,Mean,7.00,193.19,700.00,24.00,7106.13,,155.94,1250.00,393.00,1453.07,,,,,
Mean,8.00,125.00,4000.00,3250.00,2000.00,Mean,8.00,49.95,661.00,23.00,6750.83,,124.73,957.50,361.00,1375.41,,,,,
SD,1.00,700.00,1900.00,800.00,600.00,SD,1.00,153.70,300.60,6.00,1933.40,,,,,,,,,,
SD,2.00,530.00,1610.00,800.00,570.00,SD,2.00,116.25,256.60,5.80,1836.73,,,,,,,,,,
SD,3.00,325.00,1470.00,770.00,535.00,SD,3.00,74.47,234.86,5.60,1744.89,,,,,,,,,,
SD,4.00,290.00,1100.00,740.00,500.00,SD,4.00,66.44,184.68,5.40,1657.65,,,,,,,,,,
SD,5.00,222.00,1040.00,710.00,480.00,SD,5.00,51.90,175.55,5.20,1574.77,,,,,,,,,,
SD,6.00,175.00,1000.00,700.00,440.00,SD,6.00,41.48,169.16,5.00,1496.03,,,,,,,,,,
SD,7.00,162.00,800.00,675.00,420.00,SD,7.00,38.64,140.00,4.80,1421.23,,,,,,,,,,
SD,8.00,25.00,800.00,650.00,400.00,SD,8.00,9.99,132.20,4.60,1350.17,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,SNB,Dairy,Forest,Crop,,,,,,,,,,,,,,,,
,price,5.00,7.50,157.00,0.50,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,SNB,Dairy,Forest,Crop,,,SNB,Dairy,Forest,Crop,,SNB,Dairy,Forest,Crop,,SNB,Dairy,Forest,Crop
,,,,,,,,,,,,,,,,,,,,,
,,0.00,0.00,0.00,0.00,,,0.00,0.00,0.00,0.00,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,3500.00,9500.00,4000.00,3000.00,,,3842.53,11272.50,4710.00,4833.50,,342.53,1772.50,710.00,1833.50,,1.00,1.00,1.00,1.00
,,2650.00,8050.00,4000.00,2850.00,,,2906.24,9622.50,4553.00,4591.83,,256.24,1572.50,553.00,1741.83,,1.00,1.00,1.00,1.00
,,1625.00,7350.00,3850.00,2675.00,,,1861.86,8807.25,4396.00,4362.23,,236.86,1457.25,546.00,1687.23,,1.00,1.00,1.00,1.00
,,1450.00,5500.00,3700.00,2500.00,,,1660.89,6925.43,4239.00,4144.12,,210.89,1425.43,539.00,1644.12,,1.00,1.00,1.00,1.00
,,1110.00,5200.00,3550.00,2400.00,,,1297.40,6582.98,4082.00,3936.92,,187.40,1382.98,532.00,1536.92,,1.00,1.00,1.00,1.00
,,875.00,5000.00,3500.00,2200.00,,,1036.93,6343.36,3925.00,3740.07,,161.93,1343.36,425.00,1540.07,,1.00,1.00,1.00,1.00
,,810.00,4000.00,3375.00,2100.00,,,965.94,5250.00,3768.00,3553.07,,155.94,1250.00,393.00,1453.07,,1.00,1.00,1.00,1.00
,,125.00,4000.00,3250.00,2000.00,,,249.73,4957.50,3611.00,3375.41,,124.73,957.50,361.00,1375.41,,1.00,1.00,1.00,1.00
,,,,,,,,,,,,,,,,,,,,,
,Build_Wetland,2.50,2.50,0.00,2.50,,Build_Wetland,-0.20,-0.02,0.00,-0.10,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,3502.50,9502.50,4000.00,3002.50,,,3074.02,11047.05,4710.00,4350.15,,-428.48,1544.55,710.00,1347.65,,-1.25,0.87,1.00,0.74
,,2652.50,8052.50,4000.00,2852.50,,,2324.99,9430.05,4553.00,4132.64,,-327.51,1377.55,553.00,1280.14,,-1.28,0.88,1.00,0.73
,,1627.50,7352.50,3850.00,2677.50,,,1489.49,8631.11,4396.00,3926.01,,-138.01,1278.61,546.00,1248.51,,-0.58,0.88,1.00,0.74
,,1452.50,5502.50,3700.00,2502.50,,,1328.71,6786.92,4239.00,3729.71,,-123.79,1284.42,539.00,1227.21,,-0.59,0.90,1.00,0.75
,,1112.50,5202.50,3550.00,2402.50,,,1037.92,6451.32,4082.00,3543.22,,-74.58,1248.82,532.00,1140.72,,-0.40,0.90,1.00,0.74
,,877.50,5002.50,3500.00,2202.50,,,829.55,6216.49,3925.00,3366.06,,-47.95,1213.99,425.00,1163.56,,-0.30,0.90,1.00,0.76
,,812.50,4002.50,3375.00,2102.50,,,772.75,5145.00,3768.00,3197.76,,-39.75,1142.50,393.00,1095.26,,-0.25,0.91,1.00,0.75
,,127.50,4002.50,3250.00,2002.50,,,199.78,4858.35,3611.00,3037.87,,72.28,855.85,361.00,1035.37,,0.58,0.89,1.00,0.75
,,,,,,,,,,,,,,,,,,,,,
,Riparian_Planting,25.00,25.00,0.00,25.00,,Riparian_Planting,-0.20,-0.02,0.00,-0.01,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,3525.00,9525.00,4000.00,3025.00,,,3074.02,11047.05,4710.00,4785.17,,-450.98,1522.05,710.00,1760.17,,-1.32,0.86,1.00,0.96
,,2675.00,8075.00,4000.00,2875.00,,,2324.99,9430.05,4553.00,4545.91,,-350.01,1355.05,553.00,1670.91,,-1.37,0.86,1.00,0.96
,,1650.00,7375.00,3850.00,2700.00,,,1489.49,8631.11,4396.00,4318.61,,-160.51,1256.11,546.00,1618.61,,-0.68,0.86,1.00,0.96
,,1475.00,5525.00,3700.00,2525.00,,,1328.71,6786.92,4239.00,4102.68,,-146.29,1261.92,539.00,1577.68,,-0.69,0.89,1.00,0.96
,,1135.00,5225.00,3550.00,2425.00,,,1037.92,6451.32,4082.00,3897.55,,-97.08,1226.32,532.00,1472.55,,-0.52,0.89,1.00,0.96
,,900.00,5025.00,3500.00,2225.00,,,829.55,6216.49,3925.00,3702.67,,-70.45,1191.49,425.00,1477.67,,-0.44,0.89,1.00,0.96
,,835.00,4025.00,3375.00,2125.00,,,772.75,5145.00,3768.00,3517.54,,-62.25,1120.00,393.00,1392.54,,-0.40,0.90,1.00,0.96
,,150.00,4025.00,3250.00,2025.00,,,199.78,4858.35,3611.00,3341.66,,49.78,833.35,361.00,1316.66,,0.40,0.87,1.00,0.96
,,,,,,,,,,,,,,,,,,,,,
,Clean_Races,0.00,5.00,0.00,0.00,,Clean_Races,0.00,0.00,0.00,0.00,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,3500.00,9505.00,4000.00,3000.00,,,3842.53,11272.50,4710.00,4833.50,,342.53,1767.50,710.00,1833.50,,1.00,1.00,1.00,1.00
,,2650.00,8055.00,4000.00,2850.00,,,2906.24,9622.50,4553.00,4591.83,,256.24,1567.50,553.00,1741.83,,1.00,1.00,1.00,1.00
,,1625.00,7355.00,3850.00,2675.00,,,1861.86,8807.25,4396.00,4362.23,,236.86,1452.25,546.00,1687.23,,1.00,1.00,1.00,1.00
,,1450.00,5505.00,3700.00,2500.00,,,1660.89,6925.43,4239.00,4144.12,,210.89,1420.43,539.00,1644.12,,1.00,1.00,1.00,1.00
,,1110.00,5205.00,3550.00,2400.00,,,1297.40,6582.98,4082.00,3936.92,,187.40,1377.98,532.00,1536.92,,1.00,1.00,1.00,1.00
,,875.00,5005.00,3500.00,2200.00,,,1036.93,6343.36,3925.00,3740.07,,161.93,1338.36,425.00,1540.07,,1.00,1.00,1.00,1.00
,,810.00,4005.00,3375.00,2100.00,,,965.94,5250.00,3768.00,3553.07,,155.94,1245.00,393.00,1453.07,,1.00,1.00,1.00,1.00
,,125.00,4005.00,3250.00,2000.00,,,249.73,4957.50,3611.00,3375.41,,124.73,952.50,361.00,1375.41,,1.00,0.99,1.00,1.00
,,,,,,,,,,,,,,,,,,,,,
,Farm_Plan,0.10,0.10,0.00,0.00,,Farm_Plan,-0.05,-0.01,0.00,0.00,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,3500.10,9500.10,4000.00,3000.00,,,3650.40,11159.78,4710.00,4833.50,,150.30,1659.68,710.00,1833.50,,0.44,0.94,1.00,1.00
,,2650.10,8050.10,4000.00,2850.00,,,2760.92,9526.28,4553.00,4591.83,,110.82,1476.18,553.00,1741.83,,0.43,0.94,1.00,1.00
,,1625.10,7350.10,3850.00,2675.00,,,1768.76,8719.18,4396.00,4362.23,,143.66,1369.08,546.00,1687.23,,0.61,0.94,1.00,1.00
,,1450.10,5500.10,3700.00,2500.00,,,1577.85,6856.17,4239.00,4144.12,,127.75,1356.07,539.00,1644.12,,0.61,0.95,1.00,1.00
,,1110.10,5200.10,3550.00,2400.00,,,1232.53,6517.15,4082.00,3936.92,,122.43,1317.05,532.00,1536.92,,0.65,0.95,1.00,1.00
